1.058690071105957, pressure_ambient
47.25871992111206, cell_approach
55.90942096710205, pressure_sealing
62.60996603965759, gigaseal
67.81564092636108, pressure_break-in
76.36439394950867, break-in
77.71269297599792, pressure_break-in
95.08359909057617, pipette_clogged
98.35572004318237, pressure_ambient
106.16488695144653, pipette_cleaned
130.97128200531006, pressure_sealing
136.81929302215576, gigaseal
145.60637402534485, pressure_break-in
154.16698789596558, break-in
159.80216312408447, pipette_clogged
161.90634322166443, pressure_ambient
166.86007809638977, pipette_cleaned
185.16375398635864, pressure_sealing
192.62082600593567, gigaseal
196.04151225090027, pressure_break-in
204.68158507347107, break-in
216.25890612602234, pipette_clogged
218.3095440864563, pressure_ambient
222.3021891117096, pipette_cleaned
237.94003820419312, pressure_sealing
243.27823615074158, gigaseal
246.99842405319214, pressure_break-in
255.57989120483398, break-in
259.9222559928894, pipette_clogged
262.2063789367676, pressure_ambient
291.3745369911194, pipette_cleaned
299.807030916214, pressure_sealing
306.64280796051025, gigaseal
308.26924419403076, pressure_break-in
319.07624220848083, break-in
324.9647090435028, pipette_clogged
