1.0788218975067139, pressure_ambient
100.52300500869751, cell_approach
100.76327514648438, pipette_broken
113.68955111503601, pipette_replaced
123.04182600975037, pipette_broken
128.0078399181366, pipette_replaced
183.61171507835388, pressure_sealing
189.12264609336853, gigaseal
207.34465909004211, pressure_break-in
215.8209090232849, break-in
226.57657289505005, pipette_clogged
236.23653292655945, pipette_cleaned
262.22647404670715, gigaseal
270.55270504951477, pressure_sealing
287.79715609550476, pressure_break-in
296.3213760852814, break-in
314.77672696113586, pipette_clogged
318.5474829673767, pipette_cleaned
337.14212799072266, pressure_sealing
337.518217086792, gigaseal
350.0660150051117, pressure_break-in
358.62431502342224, break-in
366.1204538345337, pipette_clogged
368.6534700393677, pipette_cleaned
402.69345211982727, pipette_broken
418.60168719291687, pipette_replaced
451.094211101532, pipette_broken
455.29965019226074, pipette_replaced
470.7953701019287, cell_approach
477.22715401649475, gigaseal
477.68983697891235, pressure_sealing
488.92172598838806, pressure_break-in
497.5285050868988, break-in
513.3914880752563, pressure_ambient
513.4278039932251, pipette_clogged
516.4181950092316, pipette_cleaned
536.9751160144806, pressure_sealing
541.6743402481079, pressure_break-in
543.1279091835022, gigaseal
550.0586402416229, pressure_sealing
556.2243509292603, pressure_break-in
564.7646741867065, break-in
570.0759999752045, pressure_ambient
570.0835678577423, pipette_clogged
572.7709429264069, pipette_cleaned
